param: ARCS:	t	i	j:=
	1	18.81	1	2
	2	28.25	1	3
	3	12.29	1	4
	4	29.90	1	5
	5	25.41	1	6
	6	12.81	1	7
	7	21.55	1	8
	8	31.62	1	9
	9	10.95	1	10
	10	14.05	2	1
	11	36.07	2	3
	12	10.32	2	4
	13	20.30	2	5
	14	25.12	2	6
	15	8.36	2	7
	16	17.96	2	8
	17	10.20	2	9
	18	28.04	2	10
	19	29.29	3	1
	20	33.09	3	2
	21	23.90	3	4
	22	19.36	3	5
	23	12.49	3	6
	24	31.21	3	7
	25	54.20	3	8
	26	46.63	3	9
	27	19.92	3	10
	28	14.50	4	1
	29	10.75	4	2
	30	25.05	4	3
	31	17.37	4	5
	32	17.71	4	6
	33	2.98	4	7
	34	25.76	4	8
	35	18.33	4	9
	36	18.20	4	10
	37	29.86	5	1
	38	29.30	5	2
	39	22.29	5	3
	40	13.25	5	4
	41	8.07	5	6
	42	16.27	5	7
	43	33.26	5	8
	44	34.68	5	9
	45	23.35	5	10
	46	29.94	6	1
	47	33.33	6	2
	48	14.22	6	3
	49	21.86	6	4
	50	6.47	6	5
	51	19.48	6	7
	52	40.86	6	8
	53	45.66	6	9
	54	24.82	6	10
	55	14.38	7	1
	56	9.48	7	2
	57	25.66	7	3
	58	2.56	7	4
	59	17.57	7	5
	60	17.56	7	6
	61	22.47	7	8
	62	20.94	7	9
	63	23.76	7	10
	64	23.89	8	1
	65	14.30	8	2
	66	54.51	8	3
	67	25.45	8	4
	68	47.28	8	5
	69	46.09	8	6
	70	23.82	8	7
	71	17.26	8	9
	72	28.91	8	10
	73	33.21	9	1
	74	14.61	9	2
	75	50.54	9	3
	76	21.20	9	4
	77	35.40	9	5
	78	47.23	9	6
	79	19.87	9	7
	80	14.48	9	8
	81	38.66	9	10
	82	10.43	10	1
	83	27.66	10	2
	84	14.52	10	3
	85	18.81	10	4
	86	27.05	10	5
	87	21.23	10	6
	88	26.56	10	7
	89	31.53	10	8
	90	43.26	10	9;

param nNodes := 10;
